image_index,true_label,predicted_class,correct,cycles,frame,status_hex,sum_hex,xor_hex,cycle_ok,frame_ok,status_ok
38,6,1,0,1282,39,0x00000015,0x00004D4A,0x24,1,1,1
39,4,4,1,1282,40,0x00000015,0x000057B6,0xC0,1,1,1
40,7,7,1,1282,41,0x00000015,0x00006481,0xE3,1,1,1
41,0,0,1,1282,42,0x00000015,0x00006ED8,0x0A,1,1,1
42,6,6,1,1282,43,0x00000015,0x00005AD2,0x66,1,1,1
43,8,8,1,1282,44,0x00000015,0x0000809B,0xE3,1,1,1
44,1,6,0,1282,45,0x00000015,0x00004268,0x28,1,1,1
45,2,2,1,1282,46,0x00000015,0x00004066,0xEE,1,1,1
46,3,3,1,1282,47,0x00000015,0x00009867,0xE5,1,1,1
47,0,0,1,1282,48,0x00000015,0x00009088,0xBA,1,1,1
48,3,3,1,1282,49,0x00000015,0x00007343,0xB1,1,1,1
49,4,4,1,1282,50,0x00000015,0x00005ED7,0x17,1,1,1
50,8,8,1,1282,51,0x00000015,0x00003036,0x64,1,1,1
51,5,5,1,1282,52,0x00000015,0x00004383,0xEF,1,1,1
52,6,6,1,1282,53,0x00000015,0x000070D9,0xE3,1,1,1
53,3,3,1,1282,54,0x00000015,0x00007038,0xE8,1,1,1
54,6,6,1,1282,55,0x00000015,0x0000753D,0xAD,1,1,1
55,8,8,1,1282,56,0x00000015,0x000095E8,0x16,1,1,1
56,8,8,1,1282,57,0x00000015,0x00007CA8,0xAE,1,1,1
57,3,3,1,1282,58,0x00000015,0x00007EE5,0xC1,1,1,1
58,3,3,1,1282,59,0x00000015,0x00008B7F,0x7F,1,1,1
59,3,3,1,1282,60,0x00000015,0x00003E4A,0x80,1,1,1
60,0,0,1,1282,61,0x00000015,0x00006C1F,0xED,1,1,1
61,9,9,1,1282,62,0x00000015,0x00006098,0xCA,1,1,1
62,3,3,1,1282,63,0x00000015,0x000089BB,0x8F,1,1,1
63,8,8,1,1282,64,0x00000015,0x0000733F,0x6D,1,1,1
64,2,2,1,1282,65,0x00000015,0x0000C411,0xBB,1,1,1
65,2,2,1,1282,66,0x00000015,0x0000A015,0x75,1,1,1
66,3,3,1,1282,67,0x00000015,0x00007E7E,0x52,1,1,1
67,0,0,1,1282,68,0x00000015,0x00007AFE,0x40,1,1,1
68,2,2,1,1282,69,0x00000015,0x00005B32,0xD8,1,1,1
69,5,5,1,1282,70,0x00000015,0x00006737,0xD5,1,1,1
70,2,2,1,1282,71,0x00000015,0x00009191,0x1D,1,1,1
71,4,4,1,1282,72,0x00000015,0x00007AC5,0xDD,1,1,1
72,6,6,1,1282,73,0x00000015,0x000096BA,0x40,1,1,1
73,9,9,1,1282,74,0x00000015,0x0000739D,0x7F,1,1,1
74,5,5,1,1282,75,0x00000015,0x00005103,0xDF,1,1,1
75,0,0,1,1282,76,0x00000015,0x00007672,0x98,1,1,1
76,5,5,1,1282,77,0x00000015,0x00006420,0x7E,1,1,1
77,2,2,1,1282,78,0x00000015,0x00009677,0x7F,1,1,1
78,5,9,0,1282,79,0x00000015,0x000078D1,0xEF,1,1,1
79,1,1,1,1282,80,0x00000015,0x0000209C,0xD4,1,1,1
80,4,4,1,1282,81,0x00000015,0x00004AB1,0x0B,1,1,1
81,7,7,1,1282,82,0x00000015,0x000043F1,0x3F,1,1,1
82,5,5,1,1282,83,0x00000015,0x0000592E,0xB8,1,1,1
83,7,7,1,1282,84,0x00000015,0x00003CCC,0xB4,1,1,1
84,8,8,1,1282,85,0x00000015,0x0000E13A,0x1C,1,1,1
85,3,3,1,1282,86,0x00000015,0x0000508B,0xC5,1,1,1
86,5,5,1,1282,87,0x00000015,0x00008B4A,0x60,1,1,1
87,3,3,1,1282,88,0x00000015,0x00006B30,0x4A,1,1,1
88,8,8,1,1282,89,0x00000015,0x00008363,0xE5,1,1,1
89,4,4,1,1282,90,0x00000015,0x00006F60,0x46,1,1,1
90,6,6,1,1282,91,0x00000015,0x0000564C,0xCE,1,1,1
91,8,8,1,1282,92,0x00000015,0x0000854D,0x01,1,1,1
92,0,0,1,1282,93,0x00000015,0x00006892,0x02,1,1,1
93,8,8,1,1282,94,0x00000015,0x00007241,0xD7,1,1,1
94,9,9,1,1282,95,0x00000015,0x00006732,0x0C,1,1,1
95,7,7,1,1282,96,0x00000015,0x0000566F,0x67,1,1,1
96,7,7,1,1282,97,0x00000015,0x0000576C,0x8E,1,1,1
97,3,3,1,1282,98,0x00000015,0x0000406B,0x5F,1,1,1
98,5,5,1,1282,99,0x00000015,0x000045FA,0x28,1,1,1
99,7,7,1,1282,100,0x00000015,0x000056F4,0x38,1,1,1
100,6,6,1,1282,101,0x00000015,0x000066A3,0xEB,1,1,1
101,4,4,1,1282,102,0x00000015,0x00007E3A,0x1C,1,1,1
102,9,9,1,1282,103,0x00000015,0x0000656A,0x22,1,1,1
103,9,9,1,1282,104,0x00000015,0x00004A02,0xB6,1,1,1
104,1,1,1,1282,105,0x00000015,0x00006E63,0x6D,1,1,1
105,6,6,1,1282,106,0x00000015,0x0000A344,0x14,1,1,1
106,2,2,1,1282,107,0x00000015,0x00003A22,0x1E,1,1,1
107,5,5,1,1282,108,0x00000015,0x00007A2B,0xF9,1,1,1
108,6,6,1,1282,109,0x00000015,0x00007967,0x45,1,1,1
109,4,4,1,1282,110,0x00000015,0x0000764D,0x1D,1,1,1
110,2,2,1,1282,111,0x00000015,0x00005E22,0x9A,1,1,1
111,1,1,1,1282,112,0x00000015,0x0000394D,0x67,1,1,1
112,1,1,1,1282,113,0x00000015,0x0000234E,0xF0,1,1,1
113,3,3,1,1282,114,0x00000015,0x000072C2,0xC6,1,1,1
114,0,0,1,1282,115,0x00000015,0x0000A8A1,0x9D,1,1,1
115,2,2,1,1282,116,0x00000015,0x00007A2A,0x50,1,1,1
116,5,5,1,1282,117,0x00000015,0x0000B35A,0x2C,1,1,1
117,6,6,1,1282,118,0x00000015,0x00003A61,0x53,1,1,1
118,8,8,1,1282,119,0x00000015,0x00008833,0x99,1,1,1
119,9,9,1,1282,120,0x00000015,0x00004E5D,0xD3,1,1,1
120,5,5,1,1282,121,0x00000015,0x00006C16,0x94,1,1,1
121,3,3,1,1282,122,0x00000015,0x00006F84,0xD4,1,1,1
122,6,6,1,1282,123,0x00000015,0x00005D62,0xC6,1,1,1
123,2,2,1,1282,124,0x00000015,0x000037CE,0x9A,1,1,1
124,4,4,1,1282,125,0x00000015,0x00005B30,0x96,1,1,1
125,4,4,1,1282,126,0x00000015,0x000065CF,0x0D,1,1,1
126,5,5,1,1282,127,0x00000015,0x00005FDE,0x96,1,1,1
127,1,1,1,1282,128,0x00000015,0x000030B5,0x9D,1,1,1
128,4,4,1,1282,129,0x00000015,0x000062D6,0x40,1,1,1
129,6,6,1,1282,130,0x00000015,0x000051E0,0xC8,1,1,1
130,1,1,1,1282,131,0x00000015,0x00004680,0xD2,1,1,1
131,7,7,1,1282,132,0x00000015,0x0000566C,0xDA,1,1,1
132,4,4,1,1282,133,0x00000015,0x00009255,0x05,1,1,1
133,0,0,1,1282,134,0x00000015,0x00009082,0x98,1,1,1
134,0,0,1,1282,135,0x00000015,0x00006C1B,0x7B,1,1,1
135,6,6,1,1282,136,0x00000015,0x000064D7,0x7F,1,1,1
136,6,6,1,1282,137,0x00000015,0x00005395,0x71,1,1,1
137,6,6,1,1282,138,0x00000015,0x0000598F,0x1D,1,1,1
138,2,2,1,1282,139,0x00000015,0x000077D3,0xBF,1,1,1
139,8,8,1,1282,140,0x00000015,0x0000702F,0x87,1,1,1
140,6,6,1,1282,141,0x00000015,0x00006043,0x33,1,1,1
141,9,9,1,1282,142,0x00000015,0x0000804E,0x40,1,1,1
142,1,1,1,1282,143,0x00000015,0x00004357,0xDF,1,1,1
143,6,6,1,1282,144,0x00000015,0x000087EC,0xCE,1,1,1
144,2,2,1,1282,145,0x00000015,0x00007774,0xF0,1,1,1
145,2,2,1,1282,146,0x00000015,0x00003C6C,0xA2,1,1,1
146,5,5,1,1282,147,0x00000015,0x00004B31,0x59,1,1,1
147,3,3,1,1282,148,0x00000015,0x000048E0,0x5E,1,1,1
148,9,9,1,1282,149,0x00000015,0x00006387,0xB7,1,1,1
149,7,7,1,1282,150,0x00000015,0x00004D96,0x52,1,1,1
150,2,2,1,1282,151,0x00000015,0x0000A237,0x69,1,1,1
151,0,0,1,1282,152,0x00000015,0x000083CB,0x4D,1,1,1
152,4,4,1,1282,153,0x00000015,0x0000799A,0x7A,1,1,1
153,9,9,1,1282,154,0x00000015,0x000076D7,0x13,1,1,1
154,5,5,1,1282,155,0x00000015,0x00005010,0x06,1,1,1
155,9,9,1,1282,156,0x00000015,0x00004D34,0x56,1,1,1
156,0,0,1,1282,157,0x00000015,0x00006EE1,0x73,1,1,1
157,2,2,1,1282,158,0x00000015,0x00009837,0x65,1,1,1
158,8,8,1,1282,159,0x00000015,0x00007F01,0x41,1,1,1
159,5,5,1,1282,160,0x00000015,0x00005642,0x32,1,1,1
160,6,6,1,1282,161,0x00000015,0x00004B0F,0x5B,1,1,1
161,1,1,1,1282,162,0x00000015,0x00004E16,0xDC,1,1,1
162,4,4,1,1282,163,0x00000015,0x000069CD,0x45,1,1,1
163,1,1,1,1282,164,0x00000015,0x000035B3,0x8F,1,1,1
164,5,5,1,1282,165,0x00000015,0x00007A54,0xA2,1,1,1
165,7,7,1,1282,166,0x00000015,0x000057F4,0x40,1,1,1
166,2,2,1,1282,167,0x00000015,0x00009971,0xD5,1,1,1
167,0,0,1,1282,168,0x00000015,0x00004355,0x31,1,1,1
168,3,3,1,1282,169,0x00000015,0x0000A31C,0x90,1,1,1
169,0,0,1,1282,170,0x00000015,0x00006D36,0x6A,1,1,1
170,2,2,1,1282,171,0x00000015,0x0000A5E9,0xFF,1,1,1
171,1,1,1,1282,172,0x00000015,0x00003C81,0x55,1,1,1
172,6,6,1,1282,173,0x00000015,0x000089FB,0xB7,1,1,1
173,5,5,1,1282,174,0x00000015,0x00007F81,0xC5,1,1,1
174,0,0,1,1282,175,0x00000015,0x00006603,0x6B,1,1,1
175,7,7,1,1282,176,0x00000015,0x0000526D,0x6F,1,1,1
176,0,0,1,1282,177,0x00000015,0x0000AD3E,0x7C,1,1,1
177,9,9,1,1282,178,0x00000015,0x00006231,0x95,1,1,1
178,9,9,1,1282,179,0x00000015,0x00004328,0x98,1,1,1
179,4,4,1,1282,180,0x00000015,0x00006761,0xE9,1,1,1
180,1,1,1,1282,181,0x00000015,0x00003CCA,0xB8,1,1,1
181,5,5,1,1282,182,0x00000015,0x000058AB,0xA1,1,1,1
182,1,1,1,1282,183,0x00000015,0x00002DD6,0xE0,1,1,1
183,2,2,1,1282,184,0x00000015,0x000058AE,0x6A,1,1,1
184,9,9,1,1282,185,0x00000015,0x00006D94,0xE8,1,1,1
185,9,9,1,1282,186,0x00000015,0x00007812,0xCA,1,1,1
186,1,1,1,1282,187,0x00000015,0x00004173,0x81,1,1,1
187,0,0,1,1282,188,0x00000015,0x0000792D,0xB9,1,1,1
188,8,8,1,1282,189,0x00000015,0x00008D58,0x10,1,1,1
189,7,7,1,1282,190,0x00000015,0x00005EB5,0x5B,1,1,1
190,0,0,1,1282,191,0x00000015,0x000067CA,0xD8,1,1,1
191,2,2,1,1282,192,0x00000015,0x0000610D,0x47,1,1,1
192,8,8,1,1282,193,0x00000015,0x000059C6,0x42,1,1,1
193,1,1,1,1282,194,0x00000015,0x00005087,0x07,1,1,1
194,0,0,1,1282,195,0x00000015,0x00005DE2,0xB8,1,1,1
195,6,6,1,1282,196,0x00000015,0x00005B44,0xB8,1,1,1
196,0,0,1,1282,197,0x00000015,0x0000C0CB,0xC9,1,1,1
197,4,4,1,1282,198,0x00000015,0x000046CD,0x2B,1,1,1
198,3,3,1,1282,199,0x00000015,0x00008461,0x13,1,1,1
199,5,5,1,1282,200,0x00000015,0x00008B31,0xD9,1,1,1
200,8,8,1,1282,201,0x00000015,0x00008078,0xB0,1,1,1
201,1,1,1,1282,202,0x00000015,0x00004675,0x75,1,1,1
202,0,0,1,1282,203,0x00000015,0x000087BF,0xD7,1,1,1
203,2,2,1,1282,204,0x00000015,0x00007151,0x91,1,1,1
204,4,4,1,1282,205,0x00000015,0x00006AB8,0x46,1,1,1
205,3,3,1,1282,206,0x00000015,0x0000AA6E,0x50,1,1,1
206,3,3,1,1282,207,0x00000015,0x000050EC,0x36,1,1,1
207,3,3,1,1282,208,0x00000015,0x000062EE,0xE4,1,1,1
208,9,9,1,1282,209,0x00000015,0x000065CB,0x79,1,1,1
209,1,1,1,1282,210,0x00000015,0x00003AFE,0x9E,1,1,1
210,0,0,1,1282,211,0x00000015,0x000073A4,0x0A,1,1,1
211,7,7,1,1282,212,0x00000015,0x00005861,0x5F,1,1,1
212,7,7,1,1282,213,0x00000015,0x00007D36,0xB4,1,1,1
213,4,4,1,1282,214,0x00000015,0x00005287,0x3B,1,1,1
214,1,1,1,1282,215,0x00000015,0x000025D9,0xCF,1,1,1
215,4,4,1,1282,216,0x00000015,0x0000788B,0xCB,1,1,1
216,4,4,1,1282,217,0x00000015,0x00005685,0xC3,1,1,1
217,4,4,1,1282,218,0x00000015,0x00008E49,0x63,1,1,1
218,8,8,1,1282,219,0x00000015,0x00006606,0x2E,1,1,1
219,1,1,1,1282,220,0x00000015,0x000039CD,0x5F,1,1,1
220,0,0,1,1282,221,0x00000015,0x0000679A,0xE6,1,1,1
221,4,0,0,1282,222,0x00000015,0x0000AD7C,0x08,1,1,1
222,0,0,1,1282,223,0x00000015,0x00005465,0x93,1,1,1
223,1,1,1,1282,224,0x00000015,0x00004B2F,0xCD,1,1,1
224,2,2,1,1282,225,0x00000015,0x0000696D,0x85,1,1,1
225,9,9,1,1282,226,0x00000015,0x00005ECA,0x5C,1,1,1
226,9,9,1,1282,227,0x00000015,0x0000428C,0xF2,1,1,1
227,7,7,1,1282,228,0x00000015,0x00002264,0x66,1,1,1
228,9,9,1,1282,229,0x00000015,0x00004EB2,0x2E,1,1,1
229,9,9,1,1282,230,0x00000015,0x000066E5,0xC7,1,1,1
230,0,0,1,1282,231,0x00000015,0x0000E782,0x52,1,1,1
231,7,7,1,1282,232,0x00000015,0x00007F0C,0xF6,1,1,1
232,5,5,1,1282,233,0x00000015,0x00007BA9,0xAF,1,1,1
233,3,3,1,1282,234,0x00000015,0x00006BA2,0xB8,1,1,1
234,5,5,1,1282,235,0x00000015,0x00001E49,0xB1,1,1,1
235,6,6,1,1282,236,0x00000015,0x0000A509,0x23,1,1,1
236,7,7,1,1282,237,0x00000015,0x000050E6,0xE2,1,1,1
237,4,4,1,1282,238,0x00000015,0x00006578,0x66,1,1,1
238,4,4,1,1282,239,0x00000015,0x0000760E,0xAE,1,1,1
239,4,4,1,1282,240,0x00000015,0x00006307,0xE1,1,1,1
240,4,4,1,1282,241,0x00000015,0x0000884C,0xF8,1,1,1
241,3,3,1,1282,242,0x00000015,0x00005F5A,0xEC,1,1,1
242,9,9,1,1282,243,0x00000015,0x00004A2F,0x97,1,1,1
243,9,9,1,1282,244,0x00000015,0x00005503,0xCB,1,1,1
244,1,1,1,1282,245,0x00000015,0x0000401D,0xB1,1,1,1
245,5,5,1,1282,246,0x00000015,0x0000839E,0xCA,1,1,1
246,5,5,1,1282,247,0x00000015,0x0000557B,0x2F,1,1,1
247,0,0,1,1282,248,0x00000015,0x0000949B,0x2D,1,1,1
248,5,5,1,1282,249,0x00000015,0x0000570A,0xFE,1,1,1
249,3,3,1,1282,250,0x00000015,0x00007A17,0xCF,1,1,1
250,8,8,1,1282,251,0x00000015,0x000072B2,0xD6,1,1,1
251,2,2,1,1282,252,0x00000015,0x00005F08,0xC6,1,1,1
252,9,9,1,1282,253,0x00000015,0x00005ED8,0x78,1,1,1
253,6,6,1,1282,254,0x00000015,0x00004903,0x75,1,1,1
254,6,6,1,1282,255,0x00000015,0x00003B11,0x4F,1,1,1
255,1,1,1,1282,256,0x00000015,0x00002DD6,0x74,1,1,1
256,9,5,0,1282,257,0x00000015,0x00006581,0xA3,1,1,1
257,8,8,1,1282,258,0x00000015,0x00009ACB,0x0F,1,1,1
258,3,3,1,1282,259,0x00000015,0x000086AA,0xF6,1,1,1
259,0,0,1,1282,260,0x00000015,0x00006812,0x2A,1,1,1
260,7,7,1,1282,261,0x00000015,0x00003D14,0x94,1,1,1
261,5,5,1,1282,262,0x00000015,0x00004E79,0x7D,1,1,1
262,7,1,0,1282,263,0x00000015,0x00003C50,0xCC,1,1,1
263,6,6,1,1282,264,0x00000015,0x00005213,0xF5,1,1,1
264,0,0,1,1282,265,0x00000015,0x00007892,0xF2,1,1,1
265,8,8,1,1282,266,0x00000015,0x00003E73,0x7D,1,1,1
266,0,0,1,1282,267,0x00000015,0x00009E72,0x4A,1,1,1
267,8,8,1,1282,268,0x00000015,0x0000660F,0xED,1,1,1
268,7,7,1,1282,269,0x00000015,0x000060FC,0xF4,1,1,1
269,4,4,1,1282,270,0x00000015,0x00007087,0xF3,1,1,1
270,0,0,1,1282,271,0x00000015,0x000077E7,0xAB,1,1,1
271,9,9,1,1282,272,0x00000015,0x00007217,0x33,1,1,1
272,8,8,1,1282,273,0x00000015,0x00007C0B,0x7F,1,1,1
273,3,3,1,1282,274,0x00000015,0x00005485,0x97,1,1,1
274,5,5,1,1282,275,0x00000015,0x0000665C,0x72,1,1,1
275,4,4,1,1282,276,0x00000015,0x000036F2,0x7E,1,1,1
276,1,1,1,1282,277,0x00000015,0x00004677,0x13,1,1,1
277,6,6,1,1282,278,0x00000015,0x000056A9,0x4D,1,1,1
278,1,1,1,1282,279,0x00000015,0x00002D64,0xCC,1,1,1
279,7,7,1,1282,280,0x00000015,0x00006B4D,0x2B,1,1,1
280,9,9,1,1282,281,0x00000015,0x000075A5,0x05,1,1,1
281,7,7,1,1282,282,0x00000015,0x00006B57,0x05,1,1,1
282,5,5,1,1282,283,0x00000015,0x00006579,0xB7,1,1,1
283,6,6,1,1282,284,0x00000015,0x00007A5A,0xBE,1,1,1
284,7,7,1,1282,285,0x00000015,0x0000624A,0x0E,1,1,1
285,8,8,1,1282,286,0x00000015,0x000066EE,0xCC,1,1,1
286,4,4,1,1282,287,0x00000015,0x000043F8,0xE2,1,1,1
287,6,6,1,1282,288,0x00000015,0x00005EC4,0x32,1,1,1
288,9,9,1,1282,289,0x00000015,0x00005886,0x0A,1,1,1
289,7,7,1,1282,290,0x00000015,0x000063C6,0x5E,1,1,1
290,8,8,1,1282,291,0x00000015,0x00005812,0x92,1,1,1
291,0,0,1,1282,292,0x00000015,0x000073F0,0x0E,1,1,1
292,2,2,1,1282,293,0x00000015,0x0000534D,0x4B,1,1,1
293,4,4,1,1282,294,0x00000015,0x0000513C,0x6A,1,1,1
294,5,5,1,1282,295,0x00000015,0x00004181,0x59,1,1,1
295,7,7,1,1282,296,0x00000015,0x0000627C,0x7A,1,1,1
296,0,0,1,1282,297,0x00000015,0x000070B1,0x05,1,1,1
297,6,2,0,1282,298,0x00000015,0x000049DE,0x1E,1,1,1
298,8,8,1,1282,299,0x00000015,0x0000547C,0x7C,1,1,1
299,6,6,1,1282,300,0x00000015,0x00004FB9,0x61,1,1,1
300,1,1,1,1282,301,0x00000015,0x00005F6F,0x13,1,1,1
301,0,0,1,1282,302,0x00000015,0x000070EF,0x9F,1,1,1
302,7,7,1,1282,303,0x00000015,0x000043DB,0x3F,1,1,1
303,4,4,1,1282,304,0x00000015,0x000063D7,0xB3,1,1,1
304,1,1,1,1282,305,0x00000015,0x00003505,0x2B,1,1,1
305,3,3,1,1282,306,0x00000015,0x00007203,0x63,1,1,1
306,7,7,1,1282,307,0x00000015,0x000027E8,0x8A,1,1,1
307,6,6,1,1282,308,0x00000015,0x00005AD1,0x95,1,1,1
308,0,0,1,1282,309,0x00000015,0x00009665,0xF7,1,1,1
309,2,2,1,1282,310,0x00000015,0x00006183,0x81,1,1,1
310,2,2,1,1282,311,0x00000015,0x0000997E,0xCA,1,1,1
311,9,9,1,1282,312,0x00000015,0x000056B3,0x8F,1,1,1
312,1,1,1,1282,313,0x00000015,0x000050F0,0x86,1,1,1
313,0,0,1,1282,314,0x00000015,0x00008301,0xA1,1,1,1
314,3,3,1,1282,315,0x00000015,0x00007004,0x38,1,1,1
315,5,5,1,1282,316,0x00000015,0x00006548,0xBC,1,1,1
316,7,7,1,1282,317,0x00000015,0x00005788,0x70,1,1,1
317,0,0,1,1282,318,0x00000015,0x000076C3,0xC9,1,1,1
318,8,8,1,1282,319,0x00000015,0x0000D427,0xB5,1,1,1
319,1,1,1,1282,320,0x00000015,0x00005D7F,0x89,1,1,1
320,3,3,1,1282,321,0x00000015,0x000049BB,0x1B,1,1,1
321,5,5,1,1282,322,0x00000015,0x00006DA8,0x92,1,1,1
322,5,5,1,1282,323,0x00000015,0x00007B69,0xCD,1,1,1
323,4,4,1,1282,324,0x00000015,0x0000539F,0x79,1,1,1
324,8,8,1,1282,325,0x00000015,0x000063CB,0xF3,1,1,1
325,0,0,1,1282,326,0x00000015,0x000072ED,0x27,1,1,1
326,3,3,1,1282,327,0x00000015,0x00004351,0x49,1,1,1
327,6,0,0,1282,328,0x00000015,0x00006E38,0x1C,1,1,1
328,9,9,1,1282,329,0x00000015,0x00004B64,0x2C,1,1,1
329,6,6,1,1282,330,0x00000015,0x00006C81,0x83,1,1,1
330,9,9,1,1282,331,0x00000015,0x00004B48,0xFE,1,1,1
331,1,1,1,1282,332,0x00000015,0x00004D8E,0x1C,1,1,1
332,0,0,1,1282,333,0x00000015,0x000076D4,0x40,1,1,1
333,9,9,1,1282,334,0x00000015,0x000036B3,0x4F,1,1,1
334,4,4,1,1282,335,0x00000015,0x00007FF3,0x39,1,1,1
335,4,4,1,1282,336,0x00000015,0x00005319,0xBD,1,1,1
336,2,2,1,1282,337,0x00000015,0x00008946,0x44,1,1,1
337,8,8,1,1282,338,0x00000015,0x00006A0A,0x40,1,1,1
338,7,7,1,1282,339,0x00000015,0x00004BB9,0x39,1,1,1
339,1,1,1,1282,340,0x00000015,0x000044B9,0xCF,1,1,1
340,4,4,1,1282,341,0x00000015,0x000057A9,0x83,1,1,1
341,0,0,1,1282,342,0x00000015,0x00007D45,0x11,1,1,1
342,4,4,1,1282,343,0x00000015,0x000059FE,0xA2,1,1,1
343,2,2,1,1282,344,0x00000015,0x000090F9,0xFF,1,1,1
344,2,2,1,1282,345,0x00000015,0x000058CC,0x98,1,1,1
345,1,1,1,1282,346,0x00000015,0x000026D2,0xDE,1,1,1
346,0,0,1,1282,347,0x00000015,0x0000845E,0x02,1,1,1
347,8,8,1,1282,348,0x00000015,0x000061A9,0xE1,1,1,1
348,3,3,1,1282,349,0x00000015,0x00004480,0x34,1,1,1
349,4,4,1,1282,350,0x00000015,0x00005507,0x2D,1,1,1
350,0,0,1,1282,351,0x00000015,0x00009490,0x7C,1,1,1
351,2,2,1,1282,352,0x00000015,0x00005B56,0xD0,1,1,1
352,4,4,1,1282,353,0x00000015,0x0000456F,0xDD,1,1,1
353,6,6,1,1282,354,0x00000015,0x00008804,0x00,1,1,1
354,0,0,1,1282,355,0x00000015,0x00007F67,0x5D,1,1,1
355,9,9,1,1282,356,0x00000015,0x00009985,0xBB,1,1,1
356,0,0,1,1282,357,0x00000015,0x0000BBCC,0xE0,1,1,1
357,6,6,1,1282,358,0x00000015,0x000059C9,0x25,1,1,1
358,4,4,1,1282,359,0x00000015,0x000065B3,0x41,1,1,1
359,8,8,1,1282,360,0x00000015,0x000068B8,0x12,1,1,1
360,7,7,1,1282,361,0x00000015,0x00005630,0x8E,1,1,1
361,3,3,1,1282,362,0x00000015,0x0000A611,0x3D,1,1,1
362,1,1,1,1282,363,0x00000015,0x00002CFD,0xB7,1,1,1
363,5,5,1,1282,364,0x00000015,0x0000587C,0xA8,1,1,1
364,2,2,1,1282,365,0x00000015,0x000077D2,0x4E,1,1,1
365,5,5,1,1282,366,0x00000015,0x00006F28,0xD2,1,1,1
366,7,7,1,1282,367,0x00000015,0x000054E0,0x82,1,1,1
367,6,6,1,1282,368,0x00000015,0x0000756F,0xEB,1,1,1
368,8,8,1,1282,369,0x00000015,0x000050FB,0xE3,1,1,1
369,5,5,1,1282,370,0x00000015,0x000071E5,0x37,1,1,1
370,4,4,1,1282,371,0x00000015,0x000079C0,0x58,1,1,1
371,6,6,1,1282,372,0x00000015,0x00007417,0xC3,1,1,1
372,1,1,1,1282,373,0x00000015,0x000031B1,0xE5,1,1,1
373,4,4,1,1282,374,0x00000015,0x0000502B,0xA3,1,1,1
374,4,4,1,1282,375,0x00000015,0x00004E04,0x5C,1,1,1
375,2,2,1,1282,376,0x00000015,0x00009593,0x63,1,1,1
376,3,3,1,1282,377,0x00000015,0x0000772E,0x8C,1,1,1
377,6,6,1,1282,378,0x00000015,0x0000DDF5,0xB9,1,1,1
